property_type,price,location,city,baths,purpose,bedrooms,area_m2,Cluster
Flat,3600000,Bahria Town,Islamabad,1,For Sale,1,46.0,Medium Affordable Properties
House,9500000,Scheme 33,Karachi,3,For Sale,2,121.0,Large Luxury Properties
House,13000000,Poonch Road,Lahore,4,For Sale,3,114.0,Large Luxury Properties
House,20000000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,25000000,Gadap Town,Karachi,6,For Sale,6,243.0,Large Luxury Properties
House,18000000,Samanabad,Lahore,4,For Sale,4,278.0,Large Luxury Properties
House,23300000,Raiwind Road,Lahore,4,For Sale,4,253.0,Large Luxury Properties
House,6500000,Sabzazar Scheme,Lahore,3,For Sale,3,152.0,Large Luxury Properties
Flat,35000000,Cantt,Karachi,3,For Sale,3,271.0,Medium Affordable Properties
House,18500000,DHA Defence,Islamabad,4,For Sale,5,126.0,Large Luxury Properties
Flat,37000000,Cantt,Karachi,4,For Sale,3,314.0,Medium Affordable Properties
Flat,6000000,Gulistan-e-Jauhar,Karachi,2,For Sale,4,91.0,Medium Affordable Properties
House,16500000,High Court Road,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
Lower Portion,50000,I-8,Islamabad,3,For Rent,3,303.0,Cheap Affordable Properties
House,3900000,Four Season Housing,Faisalabad,2,For Sale,2,76.0,Large Luxury Properties
House,20000000,Lalazar,Rawalpindi,2,For Sale,3,303.0,Large Luxury Properties
House,19000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,14700000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,13500000,Sultan Town,Lahore,4,For Sale,4,126.0,Large Luxury Properties
Flat,7500000,DHA Defence,Karachi,2,For Sale,2,119.0,Medium Affordable Properties
Flat,12000000,Delhi Colony,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
Flat,9500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,15200000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,7000000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
Lower Portion,30000,Gulraiz Housing Scheme,Rawalpindi,3,For Rent,3,253.0,Cheap Affordable Properties
House,115000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,303.0,Large Luxury Properties
Flat,13000000,Scheme 33,Karachi,3,For Sale,3,212.0,Medium Affordable Properties
House,26500000,I-10,Islamabad,7,For Sale,6,202.0,Large Luxury Properties
House,17500000,Johar Town,Lahore,4,For Sale,4,228.0,Large Luxury Properties
House,17500000,North Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
Lower Portion,16000,Chanman Abad,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,6050000,DHA Defence,Islamabad,3,For Sale,3,202.0,Large Luxury Properties
Flat,35000,DHA Defence,Karachi,2,For Rent,2,124.0,Medium Affordable Properties
House,6500000,Lahore Medical Housing Society,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,13500000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,177.0,Large Luxury Properties
Flat,22000000,DHA Defence,Karachi,4,For Sale,4,202.0,Medium Affordable Properties
House,22500000,Bahria Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,28000,Airport Housing Society,Rawalpindi,4,For Rent,4,126.0,Large Luxury Properties
House,18500000,Allama Iqbal Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Flat,34000000,Clifton,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
Flat,6700000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,15000000,Bahria Town,Islamabad,3,For Sale,3,126.0,Large Luxury Properties
Flat,4500000,DHA Defence,Islamabad,1,For Sale,1,89.0,Medium Affordable Properties
Flat,80000,F-11,Islamabad,4,For Rent,3,364.0,Medium Affordable Properties
Flat,5000000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,157.0,Medium Affordable Properties
House,25500000,Iqbal Avenue,Lahore,3,For Sale,3,253.0,Large Luxury Properties
House,11800000,Al Rehman Garden,Lahore,4,For Sale,5,152.0,Large Luxury Properties
Flat,5200000,North Karachi,Karachi,3,For Sale,3,101.0,Medium Affordable Properties
House,10500000,Wapda Town,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,15500000,Military Accounts Housing Society,Lahore,7,For Sale,5,202.0,Large Luxury Properties
Flat,40000,Jamshed Town,Karachi,2,For Rent,2,124.0,Medium Affordable Properties
House,3900000,People Colony,Rawalpindi,3,For Sale,6,101.0,Large Luxury Properties
Flat,6400000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,17000000,Gadap Town,Karachi,6,For Sale,5,126.0,Large Luxury Properties
House,34000,Adiala Road,Rawalpindi,4,For Rent,4,139.0,Large Luxury Properties
Flat,18000000,G-11,Islamabad,2,For Sale,2,190.0,Medium Affordable Properties
House,9000000,Military Accounts Housing Society,Lahore,3,For Sale,3,101.0,Large Luxury Properties
Flat,630000,Gadap Town,Karachi,2,For Sale,2,71.0,Medium Affordable Properties
Flat,13000000,Jamshed Town,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
House,85000,North Nazimabad,Karachi,4,For Rent,4,253.0,Large Luxury Properties
Upper Portion,35000,Satellite Town,Rawalpindi,3,For Rent,3,253.0,Cheap Affordable Properties
Upper Portion,7000000,Nazimabad,Karachi,2,For Sale,2,121.0,Cheap Affordable Properties
House,32500000,DHA Defence,Lahore,5,For Sale,4,281.0,Large Luxury Properties
House,3650000,Adiala Road,Rawalpindi,2,For Sale,2,76.0,Large Luxury Properties
House,120000,E-11,Islamabad,4,For Rent,4,202.0,Large Luxury Properties
House,6600000,Alfalah Town,Lahore,3,For Sale,3,89.0,Large Luxury Properties
House,26000000,Scheme 33,Karachi,4,For Sale,3,243.0,Large Luxury Properties
House,24500000,Tariq Gardens,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,40000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,4,177.0,Large Luxury Properties
House,50000,Adiala Road,Rawalpindi,6,For Rent,6,253.0,Large Luxury Properties
Flat,4980000,Bahria Town Karachi,Karachi,1,For Sale,1,68.0,Medium Affordable Properties
Flat,16000000,Clifton,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
House,15000000,Jubilee Town,Lahore,7,For Sale,6,177.0,Large Luxury Properties
House,21500000,State Life Housing Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,17000000,G-13,Islamabad,5,For Sale,5,111.0,Large Luxury Properties
Lower Portion,38000,G-11,Islamabad,2,For Rent,3,177.0,Cheap Affordable Properties
House,110000,G-11,Islamabad,5,For Rent,5,177.0,Large Luxury Properties
House,3600000,Niamuana Bypass Road,Faisalabad,2,For Sale,2,76.0,Large Luxury Properties
House,27000000,DHA Defence,Lahore,4,For Sale,4,253.0,Large Luxury Properties
House,9200000,Allama Iqbal Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Upper Portion,7000000,North Nazimabad,Karachi,3,For Sale,3,111.0,Cheap Affordable Properties
House,8500000,Rehmanpura (Ferozpur Road),Lahore,1,For Sale,1,76.0,Large Luxury Properties
House,13000000,Cantt,Lahore,4,For Sale,4,202.0,Large Luxury Properties
House,7500000,Multan Road,Lahore,5,For Sale,5,126.0,Large Luxury Properties
House,10000000,Paragon City,Lahore,4,For Sale,3,152.0,Large Luxury Properties
Flat,717000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,56.0,Medium Affordable Properties
House,11000000,Airport,Karachi,4,For Sale,4,212.0,Large Luxury Properties
Upper Portion,26000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,243.0,Cheap Affordable Properties
House,12800000,Bahria Town,Lahore,5,For Sale,3,126.0,Large Luxury Properties
Flat,3500000,DHA Defence,Karachi,2,For Sale,2,68.0,Medium Affordable Properties
Flat,16000000,Shahrah-e-Pakistan,Karachi,2,For Sale,4,180.0,Medium Affordable Properties
Flat,8500000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,142.0,Medium Affordable Properties
House,27000000,DHA Defence,Lahore,4,For Sale,4,253.0,Large Luxury Properties
House,13500000,Bahria Town,Lahore,5,For Sale,3,126.0,Large Luxury Properties
House,5500000,GT Road,Lahore,3,For Sale,3,76.0,Large Luxury Properties
Flat,11300000,Askari 14,Rawalpindi,4,For Sale,3,253.0,Medium Affordable Properties
Lower Portion,26000,Margalla Town,Islamabad,2,For Rent,1,126.0,Cheap Affordable Properties
Flat,45000,DHA Defence,Islamabad,5,For Rent,4,395.0,Medium Affordable Properties
House,75000,G-13,Islamabad,4,For Rent,4,177.0,Large Luxury Properties
House,9000000,Bani Gala,Islamabad,6,For Sale,4,126.0,Large Luxury Properties
Flat,6800000,DHA Defence,Karachi,2,For Sale,2,142.0,Medium Affordable Properties
Flat,7000000,North Nazimabad,Karachi,2,For Sale,2,152.0,Medium Affordable Properties
House,20000,Ghauri Town,Islamabad,3,For Rent,2,126.0,Large Luxury Properties
Upper Portion,70000,I-8,Islamabad,3,For Rent,3,303.0,Cheap Affordable Properties
Flat,210000,F-8,Islamabad,3,For Rent,2,253.0,Medium Affordable Properties
Flat,7500000,Jamshed Town,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Flat,4000000,Bahria Town,Lahore,1,For Sale,1,56.0,Medium Affordable Properties
Flat,5000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,157.0,Medium Affordable Properties
Flat,3700000,Rabia City,Karachi,2,For Sale,3,111.0,Medium Affordable Properties
Flat,19500000,Jamshed Town,Karachi,3,For Sale,3,180.0,Medium Affordable Properties
House,21200000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,11500000,DHA Defence,Karachi,3,For Sale,2,101.0,Medium Affordable Properties
House,13000000,Valencia Housing Society,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,34000000,Gulistan-e-Jauhar,Karachi,6,For Sale,6,243.0,Large Luxury Properties
House,15000000,Valencia Housing Society,Lahore,5,For Sale,5,126.0,Large Luxury Properties
Flat,2600000,Bin Qasim Town,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
Flat,45000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,13000000,DHA Defence,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,20500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,13000000,B-17,Islamabad,7,For Sale,4,202.0,Large Luxury Properties
House,5200000,Gadap Town,Karachi,2,For Sale,2,86.0,Large Luxury Properties
Flat,4000000,DHA Defence,Islamabad,2,For Sale,2,91.0,Medium Affordable Properties
Flat,9500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,134.0,Medium Affordable Properties
House,12000000,Gulshan Abad,Rawalpindi,6,For Sale,6,329.0,Large Luxury Properties
Flat,37000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,27500000,9th Avenue,Islamabad,4,For Sale,4,177.0,Large Luxury Properties
Flat,17000,DHA Defence,Islamabad,2,For Rent,2,91.0,Medium Affordable Properties
House,3400000,DHA Defence,Islamabad,2,For Sale,2,126.0,Large Luxury Properties
House,50000,Wapda City,Faisalabad,5,For Rent,4,253.0,Large Luxury Properties
Flat,9800000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,142.0,Medium Affordable Properties
House,31000000,Askari 10,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
Upper Portion,30000,Bahria Town,Lahore,2,For Sale,2,202.0,Cheap Affordable Properties
House,10000000,Township,Lahore,5,For Sale,4,126.0,Large Luxury Properties
Flat,110000,DHA Defence,Karachi,4,For Rent,3,271.0,Medium Affordable Properties
House,15000000,Pakistan Town,Islamabad,5,For Sale,4,152.0,Large Luxury Properties
Flat,1700000,Gulistan-e-Jauhar,Karachi,1,For Sale,2,46.0,Medium Affordable Properties
House,17000000,Hassan Town,Lahore,4,For Sale,6,126.0,Large Luxury Properties
Flat,125000,Navy Housing Scheme Karsaz,Karachi,4,For Rent,4,450.0,Medium Affordable Properties
House,12000000,Johar Town,Lahore,4,For Sale,4,126.0,Large Luxury Properties
House,11500000,FECHS,Islamabad,6,For Sale,4,202.0,Large Luxury Properties
House,13500000,Pak Arab Housing Society,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Upper Portion,22000000,Gulistan-e-Jauhar,Karachi,4,For Sale,3,202.0,Cheap Affordable Properties
House,13000000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
Flat,6150000,Gadap Town,Karachi,2,For Sale,2,96.0,Medium Affordable Properties
House,32000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,3,126.0,Large Luxury Properties
House,7000000,Ghauri Town,Islamabad,3,For Sale,2,126.0,Large Luxury Properties
House,7500000,Airport Housing Society,Rawalpindi,4,For Sale,4,126.0,Large Luxury Properties
House,6000000,Allama Iqbal Town,Lahore,4,For Sale,4,101.0,Large Luxury Properties
House,19600000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
Flat,85000,F-11,Islamabad,3,For Rent,3,372.0,Medium Affordable Properties
House,45000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,126.0,Large Luxury Properties
House,14000000,Rasool Park,Lahore,4,For Sale,4,126.0,Large Luxury Properties
House,5700000,Shadab Garden,Lahore,3,For Sale,3,89.0,Large Luxury Properties
House,5000000,Tarnol,Islamabad,4,For Sale,4,253.0,Large Luxury Properties
House,20000000,Bani Gala,Islamabad,6,For Sale,6,379.0,Large Luxury Properties
House,18500000,Architects Engineers Housing Society,Lahore,5,For Sale,5,253.0,Large Luxury Properties
Flat,5500000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,104.0,Medium Affordable Properties
House,12000000,Bahria Town,Lahore,3,For Sale,3,202.0,Large Luxury Properties
House,14000000,Rasool Park,Lahore,2,For Sale,1,177.0,Large Luxury Properties
House,32500000,Samanabad,Lahore,4,For Sale,6,253.0,Large Luxury Properties
Flat,23000,E-11,Islamabad,1,For Rent,1,40.0,Medium Affordable Properties
Flat,13100000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
Flat,85000,Rashid Minhas Road,Karachi,4,For Rent,3,314.0,Medium Affordable Properties
House,7300000,Hanif Park Harbanspura,Lahore,3,For Sale,3,101.0,Large Luxury Properties
Flat,100000,Clifton,Karachi,3,For Rent,3,281.0,Medium Affordable Properties
Flat,30000,DHA Defence,Karachi,2,For Rent,2,51.0,Medium Affordable Properties
Lower Portion,35000,Chaklala Scheme,Rawalpindi,3,For Rent,3,253.0,Cheap Affordable Properties
House,11900000,DHA 11 Rahbar,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Flat,5500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,379.0,Medium Affordable Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
Flat,34000000,Clifton,Karachi,3,For Sale,3,276.0,Medium Affordable Properties
House,4500000,Nishtar Colony,Lahore,4,For Sale,6,91.0,Large Luxury Properties
House,14000000,Bahria Town,Lahore,5,For Sale,4,202.0,Large Luxury Properties
Upper Portion,8500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,4,137.0,Cheap Affordable Properties
Flat,35000000,Bath Island,Karachi,3,For Sale,3,225.0,Medium Affordable Properties
House,18000000,Samanabad,Lahore,4,For Sale,4,278.0,Large Luxury Properties
Flat,12700000,Gulistan-e-Jauhar,Karachi,4,For Sale,3,162.0,Medium Affordable Properties
Flat,2800000,Scheme 33,Karachi,2,For Sale,2,91.0,Medium Affordable Properties
House,40500,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,202.0,Large Luxury Properties
House,5000000,Dhamyal Road,Rawalpindi,2,For Sale,3,152.0,Large Luxury Properties
House,41000,FECHS,Islamabad,6,For Rent,4,177.0,Large Luxury Properties
Flat,50000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,96.0,Medium Affordable Properties
House,150000,Navy Housing Scheme Karsaz,Karachi,5,For Rent,5,354.0,Large Luxury Properties
Flat,7500000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,124.0,Medium Affordable Properties
House,28500000,Bahria Town,Lahore,7,For Sale,5,303.0,Large Luxury Properties
Lower Portion,37000,I-10,Islamabad,2,For Rent,2,142.0,Cheap Affordable Properties
House,145000,G-10,Islamabad,6,For Rent,6,235.0,Large Luxury Properties
Flat,25000000,Shaheed Millat Road,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
House,32500000,Eden,Lahore,6,For Sale,6,405.0,Large Luxury Properties
House,12000000,Peshawar Road,Rawalpindi,4,For Sale,4,152.0,Large Luxury Properties
House,7000000,Garrison Homes,Lahore,3,For Sale,3,101.0,Large Luxury Properties
House,25000000,Wapda Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,7000000,H-13,Islamabad,2,For Sale,2,126.0,Large Luxury Properties
House,15000000,Muslim Town,Faisalabad,4,For Sale,3,405.0,Large Luxury Properties
House,20000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,15500000,Gulshan Abad,Rawalpindi,6,For Sale,6,253.0,Large Luxury Properties
Upper Portion,30000,Shah Faisal Town,Karachi,2,For Rent,4,243.0,Cheap Affordable Properties
Upper Portion,20000,Dhok Kashmirian,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
Flat,12500000,North Nazimabad,Karachi,2,For Sale,2,124.0,Medium Affordable Properties
House,15500000,Bahria Town,Lahore,4,For Sale,4,253.0,Large Luxury Properties
Flat,4700000,Bahria Town,Lahore,1,For Sale,1,68.0,Medium Affordable Properties
House,23500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,14000000,Naya Nazimabad,Karachi,4,For Sale,5,162.0,Large Luxury Properties
Flat,4250000,Defence Road,Lahore,2,For Sale,2,109.0,Medium Affordable Properties
House,8600000,Adiala Road,Rawalpindi,4,For Sale,4,152.0,Large Luxury Properties
House,7500000,Al Rehman Garden,Lahore,3,For Sale,3,101.0,Large Luxury Properties
Flat,3500000,Jamshed Town,Karachi,2,For Sale,2,61.0,Medium Affordable Properties
House,9800000,Paragon City,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Flat,20000,Bahria Town Karachi,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,18200000,G-15,Islamabad,5,For Sale,5,202.0,Large Luxury Properties
House,26000,G-11,Islamabad,1,For Rent,2,78.0,Large Luxury Properties
House,11000000,Punjab Coop Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,7500000,Tench Bhata,Rawalpindi,6,For Sale,5,101.0,Large Luxury Properties
House,12500000,Gulberg,Lahore,4,For Sale,4,202.0,Large Luxury Properties
Flat,20000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
Upper Portion,30000,DHA Defence,Islamabad,3,For Rent,2,253.0,Cheap Affordable Properties
House,19500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,253.0,Large Luxury Properties
House,19500000,Gulistan-e-Jauhar,Karachi,5,For Sale,4,121.0,Large Luxury Properties
House,17500000,Bahria Town,Lahore,6,For Sale,5,202.0,Large Luxury Properties
House,20000000,Allama Iqbal Town,Lahore,4,For Sale,4,253.0,Large Luxury Properties
House,70000,G-13,Islamabad,5,For Rent,4,202.0,Large Luxury Properties
House,35000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,2,126.0,Large Luxury Properties
House,16000000,DHA Defence,Islamabad,4,For Sale,4,253.0,Large Luxury Properties
Flat,75000,F-11,Islamabad,3,For Rent,3,192.0,Medium Affordable Properties
Flat,6500000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,58000,G-13,Islamabad,4,For Rent,4,101.0,Large Luxury Properties
House,22500000,Punjab University Employees Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,13000000,Sabzazar Scheme,Lahore,3,For Sale,2,253.0,Large Luxury Properties
House,27900000,Askari 10,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
Flat,3500000,North Karachi,Karachi,2,For Sale,2,101.0,Medium Affordable Properties
House,3000000,Immad Garden Housing Scheme,Lahore,3,For Sale,4,76.0,Large Luxury Properties
Lower Portion,36000,G-13,Islamabad,2,For Rent,2,177.0,Cheap Affordable Properties
House,13900000,DHA Defence,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Flat,110000,Civil Lines,Karachi,4,For Rent,4,192.0,Medium Affordable Properties
House,4700000,Kaleem Shaheed Colony No 2,Faisalabad,3,For Sale,4,76.0,Large Luxury Properties
House,10000000,Ghauri Town,Islamabad,5,For Sale,4,126.0,Large Luxury Properties
House,14500000,FECHS,Islamabad,7,For Sale,5,177.0,Large Luxury Properties
House,150000,DHA Defence,Karachi,4,For Rent,4,303.0,Large Luxury Properties
House,22200000,State Life Housing Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,33000000,North Karachi,Karachi,4,For Sale,4,223.0,Large Luxury Properties
House,11000000,Ghous-e-Azam Road,Rawalpindi,3,For Sale,4,303.0,Large Luxury Properties
Flat,60000,Cantt,Karachi,4,For Rent,3,288.0,Medium Affordable Properties
Flat,7200000,G-11,Islamabad,2,For Sale,3,101.0,Medium Affordable Properties
Flat,4200000,Nazimabad,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
Flat,6800000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,111.0,Medium Affordable Properties
House,5000000,Sabzazar Scheme,Lahore,2,For Sale,2,63.0,Large Luxury Properties
House,35000,Bahria Town Karachi,Karachi,3,For Rent,3,202.0,Large Luxury Properties
House,5500000,Orangi Town,Karachi,3,For Sale,4,121.0,Large Luxury Properties
House,15000000,Dhok Kashmirian,Rawalpindi,4,For Sale,6,177.0,Large Luxury Properties
House,5500000,Al Rehman Garden,Lahore,4,For Sale,3,76.0,Large Luxury Properties
House,5000000,Shahdara,Lahore,4,For Sale,4,76.0,Large Luxury Properties
Flat,55000,DHA Defence,Karachi,3,For Rent,3,152.0,Medium Affordable Properties
House,11000000,Infantry Road,Lahore,4,For Sale,4,126.0,Large Luxury Properties
House,85000,G-11,Islamabad,4,For Rent,4,202.0,Large Luxury Properties
House,6500000,Lahore Medical Housing Society,Lahore,2,For Sale,2,51.0,Large Luxury Properties
House,14000000,FECHS,Islamabad,6,For Sale,5,177.0,Large Luxury Properties
House,6600000,Bismillah Housing Scheme,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,21500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Flat,38000000,Cantt,Karachi,4,For Sale,4,334.0,Medium Affordable Properties
House,9500000,Paragon City,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Lower Portion,18000,Madina Town,Islamabad,3,For Rent,3,126.0,Cheap Affordable Properties
Flat,35000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,147.0,Medium Affordable Properties
Flat,7500000,DHA Defence,Karachi,2,For Sale,2,61.0,Medium Affordable Properties
Flat,14800000,Askari,Lahore,3,For Sale,3,253.0,Medium Affordable Properties
House,13500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,4,177.0,Large Luxury Properties
House,9500000,Adiala Road,Rawalpindi,3,For Sale,3,278.0,Large Luxury Properties
House,22500000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,15000000,G-13,Islamabad,5,For Sale,3,111.0,Large Luxury Properties
Flat,6000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
House,120000,E-11,Islamabad,5,For Rent,5,253.0,Large Luxury Properties
House,28000000,Gulshan-e-Ravi,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,4500000,Adiala Road,Rawalpindi,3,For Sale,2,126.0,Large Luxury Properties
Flat,8500000,DHA Defence,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Flat,50000,Muslimabad Society,Karachi,2,For Rent,2,101.0,Medium Affordable Properties
House,6500000,Gosha-e-Ahbab,Lahore,4,For Sale,4,94.0,Large Luxury Properties
House,16800000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Upper Portion,16500000,BMCHS,Karachi,3,For Sale,3,169.0,Cheap Affordable Properties
Upper Portion,18000,FECHS,Islamabad,2,For Rent,2,177.0,Cheap Affordable Properties
Flat,55000,Cantt,Karachi,4,For Rent,3,258.0,Medium Affordable Properties
House,12000000,Gadap Town,Karachi,3,For Sale,2,121.0,Large Luxury Properties
Flat,26000,E-11,Islamabad,1,For Rent,1,46.0,Medium Affordable Properties
House,8800000,New Lalazar,Rawalpindi,5,For Sale,5,126.0,Large Luxury Properties
Flat,10500000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,162.0,Medium Affordable Properties
House,21000000,Eden,Lahore,4,For Sale,4,303.0,Large Luxury Properties
House,6800000,Adiala Road,Rawalpindi,2,For Sale,2,177.0,Large Luxury Properties
House,21000000,State Life Housing Society,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,45000,Peshawar Road,Rawalpindi,4,For Rent,4,152.0,Large Luxury Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
House,3600000,Al Rehman Garden,Lahore,2,For Sale,2,51.0,Large Luxury Properties
House,32500000,Allama Iqbal Town,Lahore,4,For Sale,4,329.0,Large Luxury Properties
Flat,9500000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,147.0,Medium Affordable Properties
Flat,22500000,Gulshan-e-Iqbal Town,Karachi,4,For Sale,3,197.0,Medium Affordable Properties
House,19300000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,11500000,State Life Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Flat,190000,DHA Defence,Karachi,4,For Rent,4,359.0,Medium Affordable Properties
House,16500000,North Karachi,Karachi,2,For Sale,2,121.0,Large Luxury Properties
Lower Portion,45000,Media Town,Rawalpindi,3,For Rent,3,278.0,Cheap Affordable Properties
House,14900000,CBR Town,Islamabad,4,For Sale,5,202.0,Large Luxury Properties
Flat,1480000,Bahria Town Karachi,Karachi,1,For Sale,1,68.0,Medium Affordable Properties
House,16500000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
House,14500000,State Life Housing Society,Lahore,3,For Sale,4,126.0,Large Luxury Properties
Flat,16500000,Askari,Lahore,5,For Sale,3,253.0,Medium Affordable Properties
Upper Portion,50000,I-8,Islamabad,3,For Rent,2,303.0,Cheap Affordable Properties
Flat,59500,E-11,Islamabad,2,For Rent,2,157.0,Medium Affordable Properties
Flat,4400000,Bahria Town,Lahore,1,For Sale,1,68.0,Medium Affordable Properties
Flat,21000000,DHA Defence,Karachi,4,For Sale,4,202.0,Medium Affordable Properties
Upper Portion,21000,Canal Road,Faisalabad,2,For Rent,2,126.0,Cheap Affordable Properties
House,12300000,DHA Defence,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Flat,3000000,P & T Colony,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,9500000,Sunfort Gardens,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,10000000,Super Highway,Karachi,3,For Sale,3,162.0,Large Luxury Properties
House,32500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,6000000,Lahore - Islamabad Motorway,Lahore,4,For Sale,4,76.0,Large Luxury Properties
Lower Portion,7000000,Federal B Area,Karachi,3,For Sale,3,121.0,Cheap Affordable Properties
